from_course_id,to_course_id,type,confidence,raw_text
SP25-MATH-1110,SP25-CS-1112,or,0.9,MATH 1110 or equivalent.
SP25-CS-1110,SP25-CS-2110,or,0.9,CS 1110 or CS 1112 or equivalent course on programming in a procedural language.
SP25-CS-1112,SP25-CS-2110,or,0.9,CS 1110 or CS 1112 or equivalent course on programming in a procedural language.
SP25-CS-2110,SP25-CS-3110,or,0.9,CS 2110 or equivalent programming experience.
SP25-CS-2110,SP25-CS-3152,or,0.9,"CS 2110 for programmers, or permission of the instructor."
SP25-CS-2110,SP25-CS-3410,or,0.9,CS 2110 or equivalent programming experience.
SP25-CS-2110,SP25-CS-3700,complex,0.6,"CS 2110/ENGRD 2110 and CS 2800, or by permission of instructor."
SP25-CS-2800,SP25-CS-3700,complex,0.6,"CS 2110/ENGRD 2110 and CS 2800, or by permission of instructor."
SP25-CS-2800,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-4710,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-2210,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-2310,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-2940,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-1110,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-1920,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-CS-2110,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-CS-3152,SP25-CS-4152,or,0.9,"CS 3152, CS 3300 or CS 3700 or CS 4620 or CS 5414."
SP25-CS-3700,SP25-CS-4152,or,0.9,"CS 3152, CS 3300 or CS 3700 or CS 4620 or CS 5414."
SP25-MATH-2210,SP25-CS-4220,or,0.9,MATH 2210 or MATH 2940 or equivalent.
SP25-MATH-2940,SP25-CS-4220,or,0.9,MATH 2210 or MATH 2940 or equivalent.
SP25-MATH-2940,SP25-CS-4300,complex,0.6,"1) linear algebra: strong performance in MATH 2940 or equivalent; 2) discrete math: strong performance in CS 2800 or equivalent. Note: the linear algebra and discrete math requirements can also be fulfilled with a strong performance in INFO 2950; and 3) programming proficiency: CS 2110 or equivalent with strong Python skills and familiarity with IPython Notebooks, or permission of instructor."
SP25-CS-2800,SP25-CS-4300,complex,0.6,"1) linear algebra: strong performance in MATH 2940 or equivalent; 2) discrete math: strong performance in CS 2800 or equivalent. Note: the linear algebra and discrete math requirements can also be fulfilled with a strong performance in INFO 2950; and 3) programming proficiency: CS 2110 or equivalent with strong Python skills and familiarity with IPython Notebooks, or permission of instructor."
SP25-CS-2110,SP25-CS-4300,complex,0.6,"1) linear algebra: strong performance in MATH 2940 or equivalent; 2) discrete math: strong performance in CS 2800 or equivalent. Note: the linear algebra and discrete math requirements can also be fulfilled with a strong performance in INFO 2950; and 3) programming proficiency: CS 2110 or equivalent with strong Python skills and familiarity with IPython Notebooks, or permission of instructor."
SP25-CS-3410,SP25-CS-4410,or,0.9,CS 3410 or CS 3420.
SP25-CS-3420,SP25-CS-4410,or,0.9,CS 3410 or CS 3420.
SP25-CS-2110,SP25-CS-4670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent."
SP25-CS-2800,SP25-CS-4670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent."
SP25-MATH-1920,SP25-CS-4670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent."
